priority,page,readiness_page,page_verdict,page_top_issue,evidence_type,evidence_id,status,owner_action,required_source,privacy_note,verification_gate
P1,/before-and-after,/before-and-after,blocked,2 missing evidence item(s).,asset,before-after-image-metadata,missing,"Original image metadata or owner confirmation tying each before/after pair to the correct project city, month/year, and scope.",Original LDN Decks project photo or redacted owner-supplied document.,"Photo files exist in public/Projectsbeforeandafter, but project linkage details still need owner confirmation.","Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P1,/before-and-after,/before-and-after,blocked,2 missing evidence item(s).,project,before-after-project-1,partial,"Complete project fields: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/before-and-after,/before-and-after,blocked,2 missing evidence item(s).,project,before-after-project-2,partial,"Complete project fields: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/before-and-after,/before-and-after,blocked,2 missing evidence item(s).,project,before-after-project-3,partial,"Complete project fields: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/before-and-after,/before-and-after,blocked,2 missing evidence item(s).,project,before-after-project-4,partial,"Complete project fields: neighborhood, month_year, materials, verified_failure, work_performed, permit_or_hoa_status.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/before-and-after,/before-and-after,blocked,2 missing evidence item(s).,asset,before-after-project-records,missing,"Owner-supplied project records for all four before/after cards: signed estimate or invoice, final scope, month/year, city/neighborhood, material selection, timeline, final cost, and permit/HOA status.",Original LDN Decks project photo or redacted owner-supplied document.,Do not convert partial project summaries into proof-backed case studies until the matching project records are supplied and reviewed.,"Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P1,/composite-deck-cost-northern-virginia,/composite-deck-cost-northern-virginia,blocked,1 missing evidence item(s).,asset,composite-cost-example-records,missing,Estimate/invoice-backed records for pricing examples before they are described as formal real project examples.,Original LDN Decks project photo or redacted owner-supplied document.,"Current page labels these as estimating scenarios. Upgrade only after signed estimate/invoice, city, month/year, scope, materials, and final cost are verified.","Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
P1,/showcase,/showcase,proof-incomplete,6 partial evidence item(s).,project,showcase-balcony-reconstruction-chantilly,partial,"Complete project fields: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/showcase,/showcase,proof-incomplete,6 partial evidence item(s).,project,showcase-custom-deck-reston,partial,"Complete project fields: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/showcase,/showcase,proof-incomplete,6 partial evidence item(s).,project,showcase-deck-construction-manassas,partial,"Complete project fields: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/showcase,/showcase,proof-incomplete,6 partial evidence item(s).,project,showcase-deck-resurfacing-sterling,partial,"Complete project fields: neighborhood, materials, verified_failure, permit_or_hoa_status, before_photo_path.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/showcase,/showcase,proof-incomplete,6 partial evidence item(s).,project,showcase-metal-fence-centreville,partial,"Complete project fields: neighborhood, verified_failure, permit_or_hoa_status, before_photo_path.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,/showcase,/showcase,proof-incomplete,6 partial evidence item(s).,project,showcase-new-composite-deck-ashburn,partial,"Complete project fields: neighborhood, verified_failure, permit_or_hoa_status, before_photo_path.","Owner-supplied project record, accepted estimate/invoice, and original before/after media where applicable.","Do not include customer names, full addresses, phone numbers, permit numbers, or unredacted documents.","May become verified only after required fields are concrete, photo paths resolve in public/, and npm run seo:validate-evidence passes."
P1,sitewide,sitewide,blocked,1 missing evidence item(s).,asset,nadra-proud-member-logo,missing,Original or NADRA-approved Proud Member logo asset for the public trust badge.,"Original association-provided or association-approved logo file, archived before public visual-logo rollout.","Archive the original/NADRA-approved file before setting BUSINESS.memberships.logoPath. Do not recreate, redraw, screenshot-crop, or manually design the NADRA logo.","Asset should be added to public/ only after it is confirmed original, relevant, and safe to publish."
